"Genotype" "Mammal.herb" "HCN" "Flwr.date" "Bnr.wdth" "Bnr.ht" "Biomass" "Infl" "Flwrs" "AF.Seeds" "RF.Seed" "Flwr.date.T" "Bnr.wdth.T" "Bnr.ht.T" "Biomass.T" "Infl.T" "Flwrs.T" "Flwr.date.S" "Bnr.wdth.S" "Bnr.ht.S" "Biomass.S" "Infl.S" "Flwrs.S"
"1" "102-2" 0 "No" 19.4166666666667 3.53416666666667 6.5425 38.7241666666667 90.6666666666667 57 8.60527856298117 2.73713599963754 4.40643468880076 1.3711082897562 0.023362135439352 2.49456899479292 4.49244273387022 3.8485011312768 -1.28250285939193 1.08094731381287 -0.890385994191525 0.376938260635145 1.21834591386631 -0.28417800561464
"2" "102-2" 1 "No" 34.25 3.2775 6.1025 24.1825 66 52.125 5.9413136354435 1.88979163401725 5.85234995535981 1.34550611259227 0.0268524813622801 2.21755959071809 4.04124002062219 3.735499557739 0.00985957694270719 0.18361113643566 0.209598052773023 -0.392073449495593 0.851585304910271 -0.749963797897269
"3" "105-1" 0 "No" 15.3 2.905 6.595 29.313 157.2 52.8333333333333 11.5017754556316 3.65844329488508 3.91152144312159 1.30552903257872 0.0229916637974986 2.32683220977355 5.39698047924028 3.75234421328408 -1.72485747224718 -1.21755408214617 -1.00714029444999 -0.0887194029751944 1.95360038946002 -0.680531125562258
"4" "105-1" 1 "No" 19.5 2.9725 6.7325 11.0183333333333 45.8333333333333 48 2.64327092433333 0.840762091643609 4.41588043316392 1.31304758670684 0.022062121694939 1.82191862982412 3.57871528169824 3.63424118566428 -1.27406023105783 -0.954034672154755 -1.30008589536614 -1.49042075272525 0.475621575251289 -1.16734480937757
"5" "107-2" 0 "Yes" NA NA NA 95.7930769230769 0 NA 0 0 NA NA NA 3.12848106528168 0 NA NA NA NA 2.13675506911935 -2.43334097629793 NA
"6" "107-2" 1 "Yes" NA NA NA 103.296666666667 0 NA 0 0 NA NA NA 3.18802396063529 0 NA NA NA NA 2.30205336985735 -2.43334097629793 NA
"7" "108-3" 0 "No" 34 2.87333333333333 5.69 22.8233333333333 3.33333333333333 48.5 0.172633333333333 0.0549105886515772 5.8309518948453 1.3019565858144 0.0308869814461902 2.18572121831514 1.49380158218572 3.64681651488434 -0.00926605943374609 -1.34276553204968 1.48107252200136 -0.480460633646063 -1.21910275951496 -1.11551004725347
"8" "108-3" 1 "No" 29.5 2.81 5.77 14.57 3.28571428571429 43.1666666666667 0.227214285714286 0.0722715013243043 5.43139024560011 1.29472215607211 0.0300364341946781 1.95373154163986 1.48665409684523 3.50791857902737 -0.366395193088492 -1.59632660573808 1.21302218300574 -1.12449211910619 -1.22491260063296 -1.68803911100068
"9" "108-4" 0 "No" 47 3.21 6.052 13.1122222222222 5.44444444444444 53.5 0.451255072016461 0.143533587390039 6.85565460040104 1.33852429440668 0.0273024840018365 1.90291362290898 1.75921069596803 3.76806102169618 0.906615607838653 -0.0610961008313462 0.351416581805444 -1.26556882629972 -1.00336467697428 -0.615747372299415
"10" "108-4" 1 "No" 66.6666666666667 3.26 6.415 8.12285714285714 0.857142857142857 57.75 0.0843142857142857 0.0268183842072332 8.16496580927726 1.34370644432732 0.0243000226597711 1.68821285860311 0.949914251592996 3.86530702625796 2.07688101893037 0.120534178914598 -0.594810425725371 -1.86160419367893 -1.66120215899708 -0.21490510202806
"11" "110-5" 0 "Yes" 38.1428571428571 3.3 5.75 21.0614285714286 25.1428571428571 57.8571428571429 1.94435714285714 0.61845411428761 6.17599037749065 1.34780941251295 0.0302457466918715 2.1422589029621 2.92957672067892 3.86769596816789 0.299130140795837 0.264339987460256 1.27898710821 -0.601117293543636 -0.0520313996664776 -0.205058024988346
"12" "110-5" 1 "Yes" 52.5714285714286 3.5875 6.0825 13.5355555555556 8.88888888888889 56.5 0.685155555555556 0.217931810427422 7.25061573739973 1.37625204540723 0.0270293601356469 1.91809017795778 2.07148833730257 3.83721513940499 1.25963279292159 1.26123190460004 0.265341475701969 -1.223436868394 -0.749529461590161 -0.33069819556535
