Date	Pollinator	Group 	Plant	Insecticide	Num.Inf	Time.s
24-07-2015	8	Big bee	20-10	Yes	12	NA
24-07-2015	8	Big bee	46-14	No	2	13
24-07-2015	8	Big bee	9-2	Yes	5	54
24-07-2015	8	Big bee	20-16	Yes	10	3
24-07-2015	8	Big bee	20-10	Yes	12	6
24-07-2015	9	Medium bee	18-5	No	17	NA
24-07-2015	9	Medium bee	5-16	Yes	2	2
24-07-2015	9	Medium bee	28-15	No	4	36
24-07-2015	9	Medium bee	30-7	Yes	4	7
24-07-2015	10	Small bee	16-1	Yes	6	NA
24-07-2015	11	Big bee	25-16	Yes	4	NA
24-07-2015	11	Big bee	11-15	Yes	8	70
24-07-2015	11	Big bee	31-10	No	2	28
24-07-2015	11	Big bee	48-7	Yes	10	156
24-07-2015	11	Big bee	29-6	No	2	14
24-07-2015	11	Big bee	23-1	No	5	4
06-08-2015	1	Big bee	4-15	No	3	NA
06-08-2015	1	Big bee	10-16	No	6	NA
06-08-2015	1	Big bee	33-1	Yes	9	2
06-08-2015	2	Big bee	45-10	Yes	6	NA
06-08-2015	2	Big bee	20-7	Yes	11	11
06-08-2015	2	Big bee	44-16	No	2	6
06-08-2015	3	Big bee	13-16	Yes	24	NA
06-08-2015	4	Big bee	20-12	No	8	14
06-08-2015	4	Big bee	10-1	Yes	12	79
06-08-2015	4	Big bee	41-7	No	1	11
06-08-2015	4	Big bee	21-12	No	6	43
06-08-2015	4	Big bee	25-15	Yes	4	43
06-08-2015	4	Big bee	30-15	Yes	17	40
06-08-2015	5	Big bee	46-2	Yes	7	50
06-08-2015	6	Big bee	30-3	Yes	9	NA
06-08-2015	6	Big bee	26-4	Yes	3	1
06-08-2015	7	Big bee	14-11	Yes	25	NA
06-08-2015	7	Big bee	20-10	Yes	17	9
06-08-2015	7	Big bee	20-16	Yes	24	59
06-08-2015	7	Big bee	11-15	Yes	8	6
06-08-2015	8	Big bee	20-10	Yes	17	NA
06-08-2015	8	Big bee	28-4	Yes	6	50
06-08-2015	8	Big bee	20-16	Yes	24	10
06-08-2015	9	Big bee	44-10	Yes	23	NA
06-08-2015	10	Big bee	21-9	No	9	NA
06-08-2015	10	Big bee	7-12	Yes	5	7
06-08-2015	10	Big bee	60-4	Yes	3	7
06-08-2015	11	Big bee	30-15	Yes	15	NA
06-08-2015	11	Big bee	9-12	Yes	3	42
06-08-2015	11	Big bee	13-3	Yes	12	51
06-08-2015	11	Big bee	25-14	No	4	6
06-08-2015	11	Big bee	21-15	Yes	8	10
17-08-2015	1	Big bee	33-4	Yes	22	37
17-08-2015	1	Big bee	13-7	No	2	12
17-08-2015	1	Big bee	37-7	Yes	8	7
17-08-2015	2	Big bee	18-15	No	47	NA
17-08-2015	2	Big bee	42-3	No	13	74
17-08-2015	2	Big bee	46-9	Yes	33	64
17-08-2015	3	Big bee	24-11	Yes	39	64
17-08-2015	4	Big bee	26-11	Yes	16	4
17-08-2015	4	Big bee	28-13	Yes	5	NA
17-08-2015	5	Big bee	16-10	Yes	45	NA
17-08-2015	6	Big bee	24-15	Yes	20	125
17-08-2015	6	Big bee	16-10	Yes	45	220
17-08-2015	6	Big bee	41-7	No	24	NA
17-08-2015	7	Big bee	26-8	No	12	NA
17-08-2015	7	Big bee	46-8	Yes	8	19
17-08-2015	7	Big bee	26-8	No	12	11
17-08-2015	7	Big bee	31-16	Yes	1	NA
17-08-2015	8	Big bee	13-16	Yes	38	NA
17-08-2015	8	Big bee	33-12	Yes	26	181
17-08-2015	8	Big bee	24-3	Yes	4	16
17-08-2015	9	Big bee	42-16	No	22	52
17-08-2015	9	Big bee	18-1	Yes	4	NA
17-08-2015	10	Big bee	21-12	No	19	NA
17-08-2015	10	Big bee	25-12	Yes	10	25
17-08-2015	10	Big bee	30-15	Yes	29	42
17-08-2015	10	Big bee	18-6	Yes	7	28
17-08-2015	10	Big bee	9-12	Yes	5	23
23-08-2015	1	Honey Bee	25-1	Yes	9	94
23-08-2015	1	Honey Bee	37-16	No	28	58
23-08-2015	1	Honey Bee	13-5	No	8	8
23-08-2015	2	Big bee	13-16	Yes	35	8
23-08-2015	2	Big bee	31-4	No	7	2
23-08-2015	3	Big bee	28-5	Yes	45	NA
23-08-2015	4	Honey Bee	46-9	Yes	66	NA
23-08-2015	5	Honey Bee	28-5	Yes	45	NA
23-08-2015	6	Big bee	49-2	No	36	103
23-08-2015	6	Big bee	30-11	Yes	24	19
23-08-2015	7	Big bee	14-8	Yes	8	NA
23-08-2015	7	Big bee	30-15	Yes	28	19
23-08-2015	8	Honey Bee	41-3	Yes	19	12
23-08-2015	9	Honey Bee	7-8	Yes	27	97
23-08-2015	9	Honey Bee	9-7	No	37	83
23-08-2015	9	Honey Bee	44-10	Yes	61	20
23-08-2015	10	Big bee	25-6	Yes	12	52
23-08-2015	10	Big bee	37-8	No	43	93
23-08-2015	11	Honey Bee	4-6	Yes	11	NA
23-08-2015	11	Honey Bee	20-14	Yes	27	52
23-08-2015	12	Big bee	49-2	No	46	98
23-08-2015	13	Honey Bee	21-15	Yes	18	NA
23-08-2015	13	Honey Bee	28-13	Yes	43	NA
23-08-2015	14	Big bee	44-7	No	40	24
23-08-2015	14	Big bee	22-8	No	4	4
23-08-2015	15	Honey Bee	36-1	No	4	22
