"","term","sumsq","meansq","NumDF","DenDF","statistic","p.value"
"1","HCN",0.138837287173844,0.138837287173844,1,44.8581711429479,1.0171872541402,0.318596619714476
"2","Pollination",0.000274166901587167,0.000274166901587167,1,120.732523492341,0.00200867564815192,0.964326221460175
"3","Herbivory",0.128472000548056,0.128472000548056,1,134.964094733114,0.941246290038386,0.333692997049849
"4","Flwr.date.S",0.0940475735162785,0.0940475735162785,1,154.322850983939,0.689036749499337,0.407774470652021
"5","Bnr.ht.S",0.154471970782949,0.154471970782949,1,148.615004411352,1.13173429847839,0.289131192923875
"6","Bnr.wdth.S",0.00958773126154196,0.00958773126154196,1,106.744362328402,0.0702442278575382,0.791492642106519
"7","Infl.S",55.3840479198145,55.3840479198145,1,154.087246656738,405.769579437147,5.10347671938712e-45
"8","HCN:Pollination",0.485312034882617,0.485312034882617,1,120.676510637341,3.55562418578026,0.0617482154268426
"9","HCN:Herbivory",0.00179075161109867,0.00179075161109867,1,129.129994588884,0.013119888404761,0.908986000234862
"10","HCN:Flwr.date.S",0.00024087813272714,0.00024087813272714,1,154.034995771363,0.00176478647342294,0.966545639449033
"11","Pollination:Flwr.date.S",0.00576165057941457,0.00576165057941457,1,126.853128883716,0.0422125615638944,0.837544463104098
"12","HCN:Bnr.wdth.S",0.0989769015842928,0.0989769015842928,1,103.796468483042,0.72515132494463,0.396419761834049
"13","Herbivory:Bnr.wdth.S",0.104355050556968,0.104355050556968,1,125.652987889702,0.76455417339573,0.383575228134608
"14","HCN:Bnr.ht.S",0.561201691785997,0.561201691785997,1,148.631615779259,4.11162749940402,0.044376069935194
"15","Herbivory:Bnr.ht.S",0.0794141761586582,0.0794141761586582,1,125.775489297771,0.581825599094892,0.447025852614923
"16","HCN:Infl.S",0.986072145141133,0.986072145141133,1,151.224627839295,7.22442823622963,0.00799780870199555
"17","Herbivory:Infl.S",2.18399425473331,2.18399425473331,1,137.347061310114,16.0009689345807,0.000102993668580376
"18","HCN:Pollination:Flwr.date.S",0.863238019017617,0.863238019017617,1,125.706929515715,6.32448766543873,0.0131699270541789
"19","HCN:Herbivory:Bnr.wdth.S",0.853853650633471,0.853853650633471,1,121.502376603744,6.25573336965249,0.0137103059007625
"20","HCN:Herbivory:Bnr.ht.S",0.552192771159037,0.552192771159037,1,123.863649556892,4.04562391044142,0.046456488891461
