"","term","estimate","std.error","statistic","group"
"1","(Intercept)",0.849517265164143,0.0788378609486743,10.7754986619589,"fixed"
"2","Linamarase.Li1",-0.0252222361323125,0.0792269518345839,-0.318354241180115,"fixed"
"3","Pollination1",-0.0567847935530257,0.0490219889593068,-1.15835352172599,"fixed"
"4","Herbivory1",-0.0895562677727423,0.0636066123017579,-1.40797103527344,"fixed"
"5","Flwr.date.S",0.00540344689389384,0.0778410813439457,0.0694163904278047,"fixed"
"6","Bnr.ht.S",-0.208231887053017,0.133615819366418,-1.55843737695442,"fixed"
"7","Bnr.wdth.S",-0.122676109454187,0.0980304913359424,-1.25140767716635,"fixed"
"8","Infl.S",0.943279726411344,0.0918295482248549,10.272071949016,"fixed"
"9","Linamarase.Li1:Pollination1",0.0116705528227797,0.0490992581532513,0.237693058138535,"fixed"
"10","Linamarase.Li1:Herbivory1",0.0686536467591266,0.0590234951376376,1.16315793564973,"fixed"
"11","Linamarase.Li1:Flwr.date.S",0.0714354664961245,0.0766698125154337,0.931728722849615,"fixed"
"12","Pollination1:Flwr.date.S",0.0880934730373466,0.0500840467698537,1.75891284189063,"fixed"
"13","Linamarase.Li1:Bnr.wdth.S",0.114410601367471,0.0969784199518451,1.17975320101402,"fixed"
"14","Herbivory1:Bnr.wdth.S",0.174579529848127,0.0695792026024789,2.5090763233597,"fixed"
"15","Linamarase.Li1:Bnr.ht.S",0.030581532827783,0.132414981710556,0.230952211243218,"fixed"
"16","Herbivory1:Bnr.ht.S",0.163556602719066,0.0935047851560061,1.74917895855472,"fixed"
"17","Linamarase.Li1:Infl.S",0.153151844269229,0.0928861668939131,1.64881219013103,"fixed"
"18","Herbivory1:Infl.S",-0.158071665303539,0.0599701748815467,-2.6358379913976,"fixed"
"19","Linamarase.Li1:Pollination1:Flwr.date.S",0.0261587020189815,0.0500845731589918,0.522290605052009,"fixed"
"20","Linamarase.Li1:Herbivory1:Bnr.wdth.S",-0.0484421035178425,0.0666894277176533,-0.726383553971021,"fixed"
"21","Linamarase.Li1:Herbivory1:Bnr.ht.S",-0.0763758656218676,0.0852684844890124,-0.895710368016559,"fixed"
"22","sd_(Intercept).Genotype",0.264080982616516,NA,NA,"Genotype"
"23","sd_Observation.Residual",0.382229350175897,NA,NA,"Residual"
