"","term","estimate","std.error","statistic","group"
"1","(Intercept)",0.783245942697197,0.07289555431602,10.7447696920121,"fixed"
"2","Glycosides.Ac1",-0.00432831756803576,0.0732862011081141,-0.0590604711745187,"fixed"
"3","Pollination1",-0.0865506456587979,0.0511238942590931,-1.69295878009926,"fixed"
"4","Herbivory1",-0.0480329498157412,0.0554967868876763,-0.865508662924185,"fixed"
"5","Flwr.date.S",0.129754978767761,0.0788343040208472,1.64592026757094,"fixed"
"6","Bnr.ht.S",-0.319711451678065,0.11745756220819,-2.72193161229914,"fixed"
"7","Bnr.wdth.S",-0.264314444234944,0.104538376285535,-2.5283963040807,"fixed"
"8","Infl.S",0.937258792043075,0.0881450555202718,10.6331408666198,"fixed"
"9","Glycosides.Ac1:Pollination1",0.0423694927763628,0.0512624619775457,0.826520833020502,"fixed"
"10","Glycosides.Ac1:Herbivory1",0.036681193002008,0.0592079136466473,0.619531929818051,"fixed"
"11","Glycosides.Ac1:Flwr.date.S",-0.119002677741089,0.0778371132465332,-1.52886807819006,"fixed"
"12","Pollination1:Flwr.date.S",0.224982408376712,0.0583283456670477,3.85717108558103,"fixed"
"13","Glycosides.Ac1:Bnr.wdth.S",0.175751940388334,0.103245583033513,1.70227079187771,"fixed"
"14","Herbivory1:Bnr.wdth.S",0.203328208853607,0.0759345143078774,2.67767840101289,"fixed"
"15","Glycosides.Ac1:Bnr.ht.S",0.00021811325859359,0.113084330473058,0.00192876641424299,"fixed"
"16","Herbivory1:Bnr.ht.S",0.131937249687985,0.0873217538161538,1.51093220099272,"fixed"
"17","Glycosides.Ac1:Infl.S",0.0570643536427978,0.0878075081009252,0.649880117053414,"fixed"
"18","Herbivory1:Infl.S",-0.199852383980284,0.0639164504506777,-3.12677538522737,"fixed"
"19","Glycosides.Ac1:Pollination1:Flwr.date.S",-0.166082466487196,0.0574243722149496,-2.89219472640502,"fixed"
"20","Glycosides.Ac1:Herbivory1:Bnr.wdth.S",-0.101874386512816,0.0742008560798663,-1.3729543282245,"fixed"
"21","Glycosides.Ac1:Herbivory1:Bnr.ht.S",-0.0130418954744574,0.0755129180737445,-0.172710786540138,"fixed"
"22","sd_(Intercept).Genotype",0.199179071102504,NA,NA,"Genotype"
"23","sd_Observation.Residual",0.376753238470659,NA,NA,"Residual"
