"Plant" "Parent.Genotype" "Stolon" "Label" "Row" "Column" "Pollination" "Herbivory" "HCN" "Glycosides.Ac" "Linamarase.Li" "Prop.mass" "Flower.date" "Mammal.herb" "Status" "Leaf.avg.dmg.1" "Leaf.avg.dmg.2" "Leaf.avg.dmg.3" "Avg.Bnr.Wdth" "Avg.Bnr.Ht" "Avg.bnr.dmg" "Bag.Inf.Wht" "Bag.Seed.Num" "Bag.Seed.Wht" "Biomass.plant" "Num.flwrs" "Total.Seed.mass" "Total.Inf" "Seeds.Inf" "Seed.only" "Block"
"108" 9 "135-1" 10 "9-10" 5 33 "Open" "Reduced" 1 1 1 0.4903 32 1 "ALIVE" 0 4.2 12.4 3.12 6.58 0 NA NA NA 93.66 53.5 21.841324522 273 0.0800048517289377 14.9257059385991 "C"
"109" 9 "135-1" 11 "9-11" 19 19 "Supp" "Ambient" 1 1 1 0.4336 37 NA "ALIVE" 28 6.2 4.4 NA NA NA NA NA NA 51.13 40 0.123534012 2 0.061767006 0.08441943778044 "E"
"110" 9 "135-1" 15 "9-15" 14 29 "Open" "Ambient" 1 1 1 0.3204 NA 1 "ALIVE" 4.4 24 2 NA NA NA NA NA NA 1.63 NA 0 0 NA 0 "F"
"111" 9 "135-1" 16 "9-16" 2 20 "Supp" "Reduced" 1 1 1 0.3564 13 NA "ALIVE" 0.4 2.8 0 2.66 5.44 74 0.106 84 0.046 43.99 51.5 7.743298367572 116 0.0667525721342414 5.29153780544768 "B"
"112" 9 "135-1" 12 "9-12" 12 9 "Open" "Reduced" 1 1 1 0.5384 50 1 "ALIVE" 4 0 0.4 3.28 7.1 10.4 NA NA NA 67.43 42.5 3.556918626 66 0.0538927064545455 2.43069148144962 "D"
"113" 10 "17-1" 3 "10-3" 1 19 "Open" "Reduced" 1 1 1 0.5134 29 NA "ALIVE" 0.4 1 3 3.02 5.11 0 NA NA NA 15.91 78.5 0.7878 8 0.098475 0.538358886 "B"
"114" 10 "17-1" 1 "10-1" 13 3 "Supp" "Reduced" 1 1 1 0.5341 49 NA "ALIVE" 1.6 9.8 3.2 3.63 6.41 0 0.195 194 0.107 83.09 86.5 13.5841762897744 80 0.16980220362218 9.28301855114314 "D"
"115" 10 "17-1" 2 "10-2" 1 26 "Supp" "Ambient" 1 1 1 0.3044 55 NA "ALIVE" 16.8 18.4 5.4 NA NA 46 NA NA NA 21.45 NA 0 0 NA 0 "C"
"116" 10 "17-1" 4 "10-4" 20 16 "Open" "Ambient" 1 1 1 0.4714 33 1 "ALIVE" 5.8 15 12.4 3.66 5.91 5 NA NA NA 58.92 85 4.199 38 0.1105 2.86947063 "E"
"117" 10 "17-1" 5 "10-5" 20 18 "Supp" "Reduced" 1 1 1 0.4518 27 NA "ALIVE" 11.2 22.4 4.6 3.42 5.66 0 NA NA NA 66.08 86.5 2.9262 25 0.117048 1.999677294 "E"
"118" 10 "17-1" 6 "10-6" 11 11 "Open" "Ambient" 1 1 1 0.2678 29 NA "ALIVE" 13.2 6.6 2.8 3.34 6.01 98.8 NA NA NA 80.34 81.5 1.1876 13 0.0913538461538461 0.811570212 "A"
"119" 10 "17-1" 14 "10-14" 21 17 "Supp" "Reduced" 1 1 1 0.369 48 1 "ALIVE" 0 8.2 7.2 3.22 5.93 0 NA NA NA 21.01 85 3.3842 39 0.086774358974359 2.312660754 "E"
"120" 10 "17-1" 8 "10-8" 12 34 "Open" "Reduced" 1 1 1 0.4803 35 1 "ALIVE" 5.6 4.4 0.4 3.47 5.89 5 0.191 162 0.081 34.65 70.5 5.76597628977441 37 0.15583719702093 3.94029521714314 "F"
"121" 10 "17-1" 9 "10-9" 4 17 "Supp" "Reduced" 1 1 1 0.3448 62 NA "ALIVE" 1.6 10.4 5.2 3.46 5.69 0 NA NA NA 8.89 60 0.5193 5 0.10386 0.354874041 "B"
"122" 10 "17-1" 10 "10-10" 7 35 "Open" "Ambient" 1 1 1 0.3 25 NA "ALIVE" 9 15 6.8 2.7 6.07 41.4 NA NA NA 46.92 85.5 0.9021 12 0.075175 0.616468077 "C"
"123" 10 "17-1" 7 "10-7" 19 23 "Open" "Reduced" 1 1 1 0.2882 36 NA "ALIVE" 1.6 3.6 1.6 3.38 5.69 0 NA NA NA 18.72 88 1.8503 20 0.092515 1.264439511 "E"
"124" 10 "17-1" 16 "10-16" 12 36 "Open" "Ambient" 1 1 1 0.4519 51 1 "ALIVE" 1.6 3.6 11.2 3.37 5.9 0 0.221 227 0.131 47.33 93 9.21127628977441 63 0.146210734758324 6.29470987814314 "F"
"125" 10 "17-1" 11 "10-11" 9 19 "Supp" "Ambient" 1 1 1 0.4096 41 NA "ALIVE" 20.4 13 8.4 3.42 6.35 NA NA NA NA 67.6 87.5 2.1292 17 0.125247058823529 1.455031404 "B"
"126" 10 "17-1" 12 "10-12" 18 14 "Open" "Reduced" 1 1 1 0.3894 43 NA "ALIVE" 0.4 0.8 1.2 3.32 5.73 0 NA NA NA 33.93 84.5 3.2924 31 0.106206451612903 2.249927388 "E"
"127" 10 "17-1" 13 "10-13" 4 23 "Supp" "Ambient" 1 1 1 0.3049 28 NA "ALIVE" 2.8 8 8 3.25 5.52 46 0.214 165 0.087 25.66 74.5 5.07457628977441 38 0.133541481309853 3.46781319914314 "B"
"128" 10 "17-1" 15 "10-15" 7 29 "Supp" "Ambient" 1 1 1 0.3789 25 1 "ALIVE" 14.4 12.8 19 NA NA NA NA NA NA 4.82 65 0.2279 4 0.056975 0.155740023 "C"
"129" 11 "102-2" 16 "11-16" 7 14 "Open" "Reduced" 0 0 0 0.4758 19 NA "ALIVE" 0 1 0 3.3 5.72 96 NA NA NA 6.76 55 1.195600536 19 0.062926344 0.81703753828632 "B"
"130" 11 "102-2" 12 "11-12" 11 35 "Supp" "Ambient" 0 0 0 0.3125 21 NA "ALIVE" 23.6 24.8 2.6 3.58 6.65 84.6 NA NA NA 69.65 67 22.072493228 205 0.107670698673171 15.0836796972184 "C"
"131" 11 "102-2" 13 "11-13" 10 29 "Supp" "Reduced" 0 0 0 0.3406 45 1 "ALIVE" 24.2 5.8 1.4 3.37 6.51 0 NA NA NA 36.13 62.5 10.143990514 91 0.111472423230769 6.93209879755218 "C"
"132" 11 "102-2" 11 "11-11" 20 24 "Supp" "Ambient" 0 0 0 0.2598 17 NA "ALIVE" 9.4 29 0.8 3.61 6.85 100 0.079 77 0.044 44.61 62.5 10.447580086887 108 0.0967368526563611 7.13956280397597 "E"
"133" 11 "102-2" 1 "11-1" 11 23 "Open" "Reduced" 0 0 0 0.2689 16 NA "ALIVE" 10.8 6.4 18.4 3.35 6.32 55 NA NA NA 13.36 53.5 1.923978334 23 0.0836512319130435 1.31478907410558 "B"
"134" 11 "102-2" 2 "11-2" 8 32 "Open" "Reduced" 0 0 0 0.332 47 1 "ALIVE" 2.6 0 3.4 2.89 4.94 NA 0.129 131 0.063 4.34 40 0.285567662886997 6 0.0475946104811662 0.195148373787087 "C"
"135" 11 "102-2" 3 "11-3" 20 12 "Supp" "Ambient" 0 0 0 0.342 27 NA "ALIVE" 10 6.4 4.2 3.52 6.63 66 NA NA NA 89.84 55.5 10.059002342 98 0.102642881040816 6.87402043045254 "D"
"136" 11 "102-2" 4 "11-4" 14 36 "Supp" "Reduced" 0 0 0 0.2779 36 1 "ALIVE" 2 8.4 1.6 3.64 6.62 81 0.128 116 0.07 45.04 60 10.425882448887 113 0.0922644464503274 7.12473528909591 "F"
"137" 11 "102-2" 5 "11-5" 4 10 "Supp" "Reduced" 0 0 0 0.3504 24 NA "ALIVE" 1.6 4 1.6 2.97 5.38 8.4 NA NA NA 21.22 54.5 2.02513036 49 0.0413291910204082 1.3839133341132 "A"
"138" 11 "102-2" 6 "11-6" 1 32 "Open" "Ambient" 0 0 0 0.2828 24 NA "ALIVE" 1 22.4 16.6 3.83 6.56 85 NA NA NA 41.48 57 10.740513824 116 0.0925906364137931 7.33974493190688 "C"
"139" 11 "102-2" 7 "11-7" 16 3 "Open" "Ambient" 0 0 0 0.3298 15 NA "ALIVE" 4.4 2.8 6.2 3.93 7.31 98.6 NA NA NA 60.13 56 18.91323272 148 0.127792112972973 12.9247358438664 "D"
"140" 11 "102-2" 8 "11-8" 21 23 "Open" "Ambient" 0 0 0 0.2717 18 NA "ALIVE" 4.4 20.4 1.8 3.58 6.71 86 NA NA NA 40.92 63 3.407990416 68 0.0501175061176471 2.32891841058192 "E"
"141" 11 "102-2" 9 "11-9" 18 3 "Open" "Ambient" 0 0 0 0.3777 17 NA "ALIVE" 4.6 2.4 7.2 3.45 6.4 85.6 0.069 67 0.023 12.77 51 4.934906084887 83 0.0594566998179156 3.37236677122923 "D"
"142" 11 "102-2" 10 "11-10" 9 32 "Supp" "Reduced" 0 0 0 0.2693 9 1 "ALIVE" 19.2 1.2 4.6 3.21 6.34 0 NA NA NA 11.22 46 2.909813916 54 0.0538854428888889 1.98847953577692 "C"
"143" 11 "102-2" 14 "11-14" 18 7 "Supp" "Ambient" 0 0 0 0.2847 19 NA "ALIVE" 16.4 36.2 15 3.51 6.85 16.6 NA NA NA 14.54 54 2.500328722 26 0.0961664893076923 1.70864963875314 "D"
"144" 11 "102-2" 15 "11-15" 17 36 "Open" "Reduced" 0 0 0 0.3791 16 NA "ALIVE" 8.2 0.8 2.4 3.78 7.13 0 NA NA NA 49.41 55 15.042586102 145 0.103741973117241 10.2796520645237 "F"
"145" 12 "44-4" 13 "12-13" 14 2 "Open" "Reduced" 1 1 1 0.5111 66 NA "ALIVE" 0 0.8 4.6 4.39 8.68 0 NA NA NA 132.74 55.5 8.8149 152 0.0579927631578947 6.023838213 "D"
"146" 12 "44-4" 16 "12-16" 23 2 "Supp" "Ambient" 1 1 1 0.3992 21 NA "ALIVE" 14 27.8 9.2 3.81 7.58 NA NA NA NA 39.41 52.5 1.4311 32 0.044721875 0.977970807 "D"
"147" 12 "44-4" 3 "12-3" 5 32 "Open" "Ambient" 1 1 1 0.5362 NA 1 "ALIVE" 1.6 3.8 12.4 NA NA NA NA NA NA 16.21 53 0.2838 4 0.07095 0.193940406 "C"
"148" 12 "44-4" 4 "12-4" 15 2 "Supp" "Ambient" 1 1 1 0.3454 NA 1 "ALIVE" 9.4 2 4 4.27 8.65 0 NA NA NA 70.07 47 4.0914 78 0.0524538461538462 2.795940018 "D"
"149" 12 "44-4" 5 "12-5" 10 21 "Open" "Ambient" 1 1 1 0.2736 72 NA "ALIVE" 20.2 7.2 3.8 3.69 8.15 NA NA NA NA 0.56 55 2.1798 48 0.0454125 1.489609926 "B"
"150" 12 "44-4" 6 "12-6" 15 10 "Open" "Reduced" 1 1 1 0.3779 69 1 "ALIVE" 8.6 2.8 3.6 NA NA NA NA NA NA 12.45 NA 0.0471 2 0.02355 0.032186727 "D"
"151" 12 "44-4" 1 "12-1" 21 10 "Supp" "Reduced" 1 1 1 0.5154 76 1 "ALIVE" 0 0 2.8 4.06 7.66 NA NA NA NA 24.17 54 0.7668 24 0.03195 0.524008116 "D"
"152" 12 "44-4" 9 "12-9" 17 15 "Supp" "Ambient" 1 1 1 0.5259 30 1 "ALIVE" 10.2 2 1.6 NA NA 55.6 NA NA NA 4.38 NA 0.0396 1 0.0396 0.027061452 "E"
"153" 12 "44-4" 10 "12-10" 19 24 "Open" "Reduced" 1 1 1 0.4822 50 1 "ALIVE" 0 4 2.8 4.54 8.09 0 NA NA NA 103.63 54.5 3.7878 73 0.0518876712328767 2.588468886 "E"
"154" 12 "44-4" 11 "12-11" 13 22 "Open" "Ambient" 1 1 1 0.512 18 1 "ALIVE" 13 5 9.6 3.86 7.76 NA NA NA NA 6.98 NA 0.0431 1 0.0431 0.029453247 "E"
"155" 12 "44-4" 12 "12-12" 10 2 "Supp" "Reduced" 1 1 1 0.3282 NA 1 "ALIVE" 0.2 1.6 7.2 NA NA NA NA NA NA 7.89 NA 0 0 NA 0 "A"
"156" 12 "44-4" 7 "12-7" 2 6 "Supp" "Reduced" 1 1 1 0.505 22 NA "ALIVE" 0 6.6 2.8 4.01 7.88 13 NA NA NA 30.6 30 0.0396 1 0.0396 0.027061452 "A"
"157" 12 "44-4" 14 "12-14" 7 18 "Supp" "Ambient" 1 1 1 0.4472 15 NA "ALIVE" 14.8 12.6 16 3.71 6.9 2 NA NA NA 94.28 57.5 6.2789 133 0.0472097744360902 4.290811893 "B"
"158" 12 "44-4" 15 "12-15" 11 24 "Supp" "Reduced" 1 1 1 0.3184 72 NA "ALIVE" 13.6 12 0.4 3.98 8.11 NA 0.125 19 0.008 76.27 53.5 4.22953764418269 96 0.0440576837935697 2.89033913990513 "B"
"159" 12 "44-4" 2 "12-2" 10 9 "Open" "Ambient" 1 1 1 0.5137 87 1 "ALIVE" 8.6 6.4 10.8 3.3 7.14 NA NA NA NA 11.02 51 0.444 10 0.0444 0.30341628 "A"
"160" 12 "44-4" 8 "12-8" 11 22 "Open" "Reduced" 1 1 1 0.3412 69 1 "ALIVE" 17 13.6 1.2 4.14 8.16 NA NA NA NA 49.31 56 4.5938 85 0.0540447058823529 3.139265106 "B"
"161" 13 "143-5" 9 "13-9" 18 17 "Supp" "Reduced" 0 0 0 0.3158 41 1 "ALIVE" 0.8 3 3.2 3.31 6.21 NA NA NA NA 8.96 45.5 0.4171 11 0.0379181818181818 0.285033627 "E"
"162" 13 "143-5" 3 "13-3" 14 11 "Open" "Reduced" 0 0 0 0.4152 13 NA "ALIVE" 0.4 8.4 1 3.22 6.29 8 NA NA NA 109.79 69 12.2321 197 0.0620918781725888 8.359050177 "D"
"163" 13 "143-5" 4 "13-4" 13 11 "Supp" "Ambient" 0 0 0 0.3736 23 NA "ALIVE" 20.8 14.2 10.4 3.22 6.01 0 NA NA NA 52.97 67.5 6.4533 109 0.0592045871559633 4.409991621 "D"
"164" 13 "143-5" 1 "13-1" 3 22 "Open" "Ambient" 0 0 0 0.532 19 NA "ALIVE" 2 28.2 3.2 3.19 6.29 95.6 NA NA NA 52.6 75 8.4011 130 0.0646238461538462 5.741059707 "B"
"165" 13 "143-5" 2 "13-2" 19 12 "Supp" "Reduced" 0 0 0 0.3741 17 NA "ALIVE" 0.4 0 2.8 3.26 6.35 0 NA NA NA 85 73 12.2294 183 0.0668273224043716 8.357205078 "D"
"166" 13 "143-5" 6 "13-6" 16 30 "Supp" "Ambient" 0 0 0 0.3857 14 1 "ALIVE" 0 1.8 6.6 3.07 7 31.8 NA NA NA 25.02 67 2.9439 42 0.0700928571428572 2.011772943 "F"
"167" 13 "143-5" 7 "13-7" 1 21 "Open" "Ambient" 0 0 0 0.389 9 NA "ALIVE" 2.6 24.2 16.4 3.2 6.66 0 0.05 50 0.014 84.38 73.5 4.90636210698148 96 0.0511079386143904 3.35286067304793 "B"
"168" 13 "143-5" 8 "13-8" 13 13 "Open" "Reduced" 0 0 0 0.2902 13 1 "ALIVE" 1.4 3 7 3.14 6.1 0 NA NA NA 24.4 67.5 3.5518 69 0.0514753623188406 2.427193566 "E"
"169" 13 "143-5" 12 "13-12" 1 20 "Open" "Reduced" 0 0 0 0.4557 14 NA "ALIVE" 8.6 18.6 3.2 2.96 5.52 7.6 0.056 56 0.014 74.57 70.5 9.71936210698148 154 0.0631127409544252 6.64192048304794 "B"
"170" 13 "143-5" 13 "13-13" 19 25 "Supp" "Ambient" 0 0 0 0.3585 15 NA "ALIVE" 6.8 4 1 2.86 5.93 5 0.049 52 0.012 48.39 67 3.52916210698148 69 0.0511472769127751 2.41172350904793 "F"
"171" 13 "143-5" 10 "13-10" 21 9 "Open" "Reduced" 0 0 0 0.4518 49 1 "ALIVE" 0 0 8.6 3.21 5.78 9.4 NA NA NA 26.42 60 2.7771 46 0.0603717391304348 1.897786827 "D"
"172" 13 "143-5" 11 "13-11" 18 27 "Supp" "Reduced" 0 0 0 0.2991 12 1 "ALIVE" 1 8.2 1.8 3.43 6.57 0 0.135 108 0.057 45.08 72.5 14.5014621069815 194 0.0747498046751623 9.90986416004793 "F"
"173" 13 "143-5" 16 "13-16" 15 8 "Supp" "Reduced" 0 0 0 0.3983 37 NA "ALIVE" 6.8 3.6 0.2 3.3 6.15 NA NA NA NA 108.46 71 20.1941 282 0.0716102836879433 13.800042117 "D"
"174" 13 "143-5" 5 "13-5" 3 28 "Open" "Ambient" 0 0 0 0.3321 34 1 "ALIVE" 7.4 22 3.2 3.38 6.56 0.8 NA NA NA 51.06 73 3.7955 81 0.046858024691358 2.593730835 "C"
"175" 13 "143-5" 14 "13-14" 2 3 "Supp" "Ambient" 0 0 0 0.5122 15 NA "ALIVE" 6.4 0 0.2 3.28 6.13 16 NA NA NA 60.83 63 8.2461 166 0.0496753012048193 5.635137357 "A"
"176" 13 "143-5" 15 "13-15" 11 19 "Open" "Ambient" 0 0 0 0.5095 12 1 "ALIVE" 16 11.6 15.2 3.46 6.55 0 NA NA NA 41.6 78.5 4.2506 64 0.066415625 2.904732522 "B"
"177" 14 "122-3" 7 "14-7" 9 8 "Supp" "Reduced" 1 1 1 0.3592 75 1 "ALIVE" 66 10 1.6 NA NA 24.8 NA NA NA 81.46 NA 0.0802 1 0.0802 0.054806274 "A"
"178" 14 "122-3" 8 "14-8" 20 21 "Supp" "Ambient" 1 1 1 0.3457 64 NA "ALIVE" 10.4 3.6 9.2 3.89 6.99 0.8 NA NA NA 70.83 88.5 20.5279 150 0.136852666666667 14.028151023 "E"
"179" 14 "122-3" 2 "14-2" 12 20 "Open" "Ambient" 1 1 1 0.2506 11 NA "ALIVE" 12 8.4 11.2 3.81 6.69 8 NA NA NA 93.57 96 25.192 196 0.128530612244898 17.21545704 "E"
"180" 14 "122-3" 11 "14-11" 13 34 "Open" "Reduced" 1 1 1 0.2956 19 NA "ALIVE" 4.6 2.2 1.6 3.38 5.73 0 0.053 49 0.016 118.44 87.5 43.3670525720024 301 0.144076586617948 29.6357427161293 "F"
"181" 14 "122-3" 5 "14-5" 10 11 "Supp" "Ambient" 1 1 1 0.5258 NA 1 "ALIVE" 0 20 2.2 NA NA NA NA NA NA 3.64 65.5 2.835 30 0.0945 1.93735395 "A"
"182" 14 "122-3" 6 "14-6" 12 29 "Open" "Ambient" 1 1 1 0.5505 41 NA "ALIVE" 13.8 16.8 5.8 3.67 6.57 0 NA NA NA 28.62 99.5 13.4618 99 0.135977777777778 9.199390266 "F"
"183" 14 "122-3" 13 "14-13" 20 3 "Supp" "Ambient" 1 1 1 0.5016 15 1 "ALIVE" 4.4 2.6 10.8 3.9 6.69 NA NA NA NA 12.56 77.5 3.607 37 0.0974864864864865 2.46491559 "D"
"184" 14 "122-3" 9 "14-9" 13 7 "Open" "Reduced" 1 1 1 0.4171 37 1 "ALIVE" 0.4 8.8 0 3.43 6.77 13 NA NA NA 23.26 82 3.9038 45 0.0867511111111111 2.667739806 "D"
"185" 14 "122-3" 10 "14-10" 14 22 "Open" "Reduced" 1 1 1 0.3546 49 1 "ALIVE" 4 17.4 1.6 3.72 6.81 0 NA NA NA 22.03 83 11.662 91 0.128153846153846 7.96946094 "E"
"186" 14 "122-3" 12 "14-12" 5 17 "Supp" "Reduced" 1 1 1 0.3641 51 1 "ALIVE" 3 0.4 7 3.44 6.28 0 NA NA NA 17.81 81.5 2.6306 30 0.0876866666666667 1.797673122 "B"
"187" 14 "122-3" 1 "14-1" 6 9 "Supp" "Reduced" 1 1 1 0.5421 17 1 "ALIVE" 2.8 15 8.4 NA NA NA NA NA NA 7.84 80.5 0.4564 7 0.0652 0.311890068 "A"
"188" 14 "122-3" 14 "14-14" 11 28 "Supp" "Ambient" 1 1 1 0.374 58 1 "ALIVE" 5.6 17.2 11 NA NA 0 NA NA NA 7.08 86 3.4982 25 0.139928 2.390564934 "C"
"189" 14 "122-3" 15 "14-15" 10 25 "Open" "Ambient" 1 1 1 0.4572 43 NA "ALIVE" 34.4 3.8 6 3.88 7.15 NA NA NA NA 37.52 98 7.8349 69 0.113549275362319 5.354135613 "C"
"190" 14 "122-3" 16 "14-16" 20 6 "Open" "Ambient" 1 1 1 0.4962 21 1 "ALIVE" 3 5.4 6.4 3.56 6.15 NA NA NA NA 1.64 85.5 0.3932 4 0.0983 0.268701084 "D"
"191" 14 "122-3" 3 "14-3" 14 24 "Open" "Reduced" 1 1 1 0.4032 63 1 "ALIVE" 0 12.4 4.2 3.91 7 7 NA NA NA 42.04 88.5 14.5908 129 0.113106976744186 9.970914996 "E"
"192" 14 "122-3" 4 "14-4" 10 15 "Supp" "Reduced" 1 1 1 0.3385 15 NA "ALIVE" 2.2 4 0 3.42 6.23 23 NA NA NA 26.86 NA 0 0 NA 0 "B"
"193" 15 "12-2" 7 "15-7" 2 5 "Supp" "Reduced" 1 1 1 0.4206 22 NA "ALIVE" 9.8 0.4 1.4 2.95 5.87 3 NA NA NA 23.49 NA 0.3169 3 0.105633333333333 0.216559953 "A"
"194" 15 "12-2" 5 "15-5" 6 34 "Open" "Reduced" 1 1 1 0.3295 23 1 "ALIVE" 6.6 6.4 0 NA NA NA NA NA NA 17.25 NA 0 0 NA 0 "C"
"195" 15 "12-2" 6 "15-6" 17 11 "Supp" "Ambient" 1 1 1 0.478 47 NA "ALIVE" 23.6 1.2 12.2 NA NA NA NA NA NA 20.93 NA 0 0 NA 0 "D"
"196" 15 "12-2" 11 "15-11" 7 3 "Open" "Reduced" 1 1 1 0.527 NA 1 "DEAD" 7.6 NA NA NA NA NA NA NA NA NA NA 0 0 NA 0 "A"
"197" 15 "12-2" 8 "15-8" 22 24 "Open" "Reduced" 1 1 1 0.3284 NA NA "ALIVE" 5 0.2 15 NA NA NA NA NA NA 31.97 NA 0 0 NA 0 "E"
"198" 15 "12-2" 9 "15-9" 6 3 "Open" "Reduced" 1 1 1 0.5451 NA 1 "ALIVE" 7.4 2 5.2 NA NA NA NA NA NA 8.12 NA 0 0 NA 0 "A"
"199" 15 "12-2" 10 "15-10" 19 2 "Open" "Ambient" 1 1 1 0.4468 NA 1 "ALIVE" 7.6 16.8 17.6 NA NA NA NA NA NA 15.34 NA 0 0 NA 0 "D"
"200" 15 "12-2" 1 "15-1" 20 35 "Supp" "Ambient" 1 1 1 0.4808 NA 1 "ALIVE" 16.5 5.4 4.4 NA NA 6 NA NA NA 14.24 NA 0 0 NA 0 "F"
"201" 15 "12-2" 12 "15-12" 4 26 "Supp" "Reduced" 1 1 1 0.4186 31 NA "ALIVE" 2.8 0 0 3.03 5.2 44 NA NA NA 69.22 NA 0.4989 8 0.0623625 0.340933293 "C"
"202" 15 "12-2" 13 "15-13" 16 20 "Open" "Ambient" 1 1 1 0.2845 NA 1 "ALIVE" 4.6 26.6 2.6 NA NA NA NA NA NA 32.86 NA 0 0 NA 0 "E"
"203" 15 "12-2" 14 "15-14" 2 9 "Supp" "Ambient" 1 1 1 0.3025 21 NA "ALIVE" 31.8 0 7.4 2.74 5.02 69 NA NA NA 27.1 NA 0.3223 7 0.0460428571428571 0.220250151 "A"
"204" 15 "12-2" 2 "15-2" 18 34 "Supp" "Reduced" 1 1 1 0.2536 22 NA "ALIVE" 2 0.2 0.6 3.15 5.48 46 NA NA NA 53.77 NA 0.2759 3 0.0919666666666667 0.188541783 "F"
"205" 15 "12-2" 3 "15-3" 6 11 "Supp" "Ambient" 1 1 1 0.2536 42 NA "ALIVE" 6.8 0 1.2 NA NA 97.2 NA NA NA 46.42 NA 0.0934 1 0.0934 0.063826758 "A"
"206" 15 "12-2" 4 "15-4" 8 29 "Open" "Ambient" 1 1 1 0.5438 9 1 "DEAD" NA 0 NA NA NA NA NA NA NA NA NA 0 0 NA 0 "C"
"207" 15 "12-2" 15 "15-15" 21 26 "Open" "Ambient" 1 1 1 0.2628 NA 1 "ALIVE" 12 0.6 10.8 NA NA NA NA NA NA 17.16 NA 0 0 NA 0 "F"
"208" 15 "12-2" 16 "15-16" 11 33 "Supp" "Reduced" 1 1 1 0.287 NA 1 "ALIVE" 0 2.2 1.6 NA NA NA NA NA NA 26.49 NA 0 0 NA 0 "C"
"209" 16 "124-1" 3 "16-3" 20 29 "Supp" "Ambient" 1 1 1 0.4679 19 NA "ALIVE" 0.8 0 0 3.02 6.42 70 0.059 68 0.025 23.82 69 2.74937701610581 44 0.0624858412751321 1.87884177149623 "F"
"210" 16 "124-1" 2 "16-2" 20 13 "Open" "Reduced" 1 1 1 0.3381 34 NA "ALIVE" 9.4 0 0 3.2 6.51 23 NA NA NA 75.66 71 16.4156 214 0.0767084112149533 11.217928572 "E"
"211" 16 "124-1" 16 "16-16" 17 9 "Open" "Ambient" 1 1 1 0.3375 37 NA "ALIVE" 9.8 0 0 2.98 6.13 22 NA NA NA 70.11 76 6.9312 66 0.105018181818182 4.736574144 "D"
"212" 16 "124-1" 5 "16-5" 1 10 "Open" "Reduced" 1 1 1 0.324 23 NA "ALIVE" 5.2 0 0 2.85 6.01 6 0.116 82 0.035 36.92 66.5 2.09057701610581 59 0.0354335087475562 1.42863761549623 "A"
"213" 16 "124-1" 6 "16-6" 12 27 "Supp" "Reduced" 1 1 1 0.387 21 1 "ALIVE" 12.6 0 0.8 3.1 6.41 82.6 NA NA NA 74.45 72 6.2381 94 0.0663627659574468 4.262930397 "F"
"214" 16 "124-1" 7 "16-7" 14 17 "Open" "Ambient" 1 1 1 0.2923 23 1 "ALIVE" 16 3.6 0 3.18 6.78 NA NA NA NA 23.91 79 2.2206 43 0.0516418604651163 1.517491422 "E"
"215" 16 "124-1" 4 "16-4" 17 16 "Supp" "Ambient" 1 1 1 0.2653 26 NA "ALIVE" 2 12 2.2 NA NA 99.6 0.091 98 0.034 10.24 NA 0.189477016105813 1 0.189477016105813 0.129482908496229 "E"
"216" 16 "124-1" 9 "16-9" 6 22 "Supp" "Reduced" 1 1 1 0.2695 32 NA "ALIVE" 4 0 0 2.95 6.12 0 NA NA NA 24.45 65 2.3955 37 0.0647432432432433 1.637012835 "B"
"217" 16 "124-1" 10 "16-10" 12 1 "Open" "Reduced" 1 1 1 0.441 15 NA "ALIVE" 0 0 0 3.37 6.22 19 NA NA NA 102.8 69 18.3472 205 0.0894985365853659 12.537926064 "D"
"218" 16 "124-1" 15 "16-15" 8 26 "Supp" "Ambient" 1 1 1 0.3286 49 1 "ALIVE" 21.2 0 2.4 2.86 5.65 NA NA NA NA 7.49 55.5 0.5438 7 0.0776857142857143 0.371616606 "C"
"219" 16 "124-1" 8 "16-8" 2 36 "Supp" "Reduced" 1 1 1 0.2834 14 NA "ALIVE" 2.4 6.2 0 3.01 6.12 0 NA NA NA 17.1 64 2.153 41 0.0525121951219512 1.47129561 "C"
"220" 16 "124-1" 1 "16-1" 12 3 "Supp" "Reduced" 1 1 1 0.2547 32 NA "ALIVE" 2 0 0 3.09 6.7 1.6 0.175 154 0.083 64.25 65 8.23837701610581 97 0.0849317218155238 5.62985970149623 "D"
"221" 16 "124-1" 14 "16-14" 15 1 "Open" "Reduced" 1 1 1 0.444 14 NA "ALIVE" 2 0 0 2.87 6.09 3.4 NA NA NA 76.47 70 13.8704 174 0.0797149425287356 9.478615248 "D"
"222" 16 "124-1" 11 "16-11" 12 24 "Open" "Ambient" 1 1 1 0.2711 38 1 "ALIVE" 0 1.6 2 3.4 7.01 0.6 NA NA NA 36.04 63.5 2.8175 32 0.088046875 1.925394975 "E"
"223" 16 "124-1" 12 "16-12" 5 21 "Supp" "Ambient" 1 1 1 0.3801 58 1 "ALIVE" 14.4 0.2 1.6 2.6 6.2 21.4 NA NA NA 15.64 57 1.1006 14 0.0786142857142857 0.752117022 "B"
"224" 16 "124-1" 13 "16-13" 7 15 "Open" "Ambient" 1 1 1 0.3723 14 NA "ALIVE" 20.6 2.8 0 3 6.05 8 0.099 107 0.052 16.07 57.5 0.856177016105813 13 0.0658597704696779 0.585085687496229 "B"
