"Plant" "Parent.Genotype" "Stolon" "Label" "Row" "Column" "Pollination" "Herbivory" "HCN" "Glycosides.Ac" "Linamarase.Li" "Prop.mass" "Flower.date" "Mammal.herb" "Status" "Leaf.avg.dmg.1" "Leaf.avg.dmg.2" "Leaf.avg.dmg.3" "Avg.Bnr.Wdth" "Avg.Bnr.Ht" "Avg.bnr.dmg" "Bag.Inf.Wht" "Bag.Seed.Num" "Bag.Seed.Wht" "Biomass.plant" "Num.flwrs" "Total.Seed.mass" "Total.Inf" "Seeds.Inf" "Seed.only" "Block"
"42" 5 "99-5" 16 "5-16" 21 1 "Open" "Reduced" 0 1 0 0.5442 19 NA "ALIVE" 1.2 0 2 3.29 6.38 0 NA NA NA 137.97 57 1.9133 26 0.0735884615384615 1.307491821 "D"
"43" 5 "99-5" 9 "5-9" 15 35 "Open" "Reduced" 0 1 0 0.2873 29 NA "ALIVE" 0 3 3 3.39 5.78 11.4 NA NA NA 44.68 NA 0.0634 3 0.0211333333333333 0.043325658 "F"
"44" 5 "99-5" 6 "5-6" 9 1 "Open" "Ambient" 0 1 0 0.5035 19 NA "ALIVE" 23.6 0.8 4.8 3.37 6.37 34 NA NA NA 47.59 NA 0.240162396 10 0.0240162396 0.16411977655452 "A"
"45" 5 "99-5" 7 "5-7" 9 3 "Supp" "Reduced" 0 1 0 0.4337 22 NA "ALIVE" 10 0.4 1.8 3.3 6.4 23 NA NA NA 141.13 52 0.654383548 9 0.0727092831111111 0.44718608519676 "A"
"46" 5 "99-5" 8 "5-8" 18 5 "Open" "Ambient" 0 1 0 0.5089 23 NA "ALIVE" 7.4 7.6 8.6 NA NA 98 NA NA NA 33.1 NA 0.269575256 8 0.033696907 0.18421964269272 "D"
"47" 5 "99-5" 12 "5-12" 1 7 "Supp" "Ambient" 0 1 0 0.353 23 NA "ALIVE" 11 9 8.6 3.49 5.61 55 NA NA NA 29.38 50 0.167 6 0.0278333333333333 0.11412279 "A"
"48" 5 "99-5" 11 "5-11" 16 15 "Supp" "Ambient" 0 1 0 0.3015 43 NA "ALIVE" 13.8 11.8 10.8 2.71 5.11 37 NA NA NA 42.08 NA 0.0434 1 0.0434 0.029658258 "E"
"49" 6 "170-4" 7 "6-7" 2 8 "Open" "Reduced" 1 1 1 0.3706 23 NA "ALIVE" 22.6 1 5.6 3.71 6.79 1 NA NA NA 24.64 54.5 1.97457785 42 0.0470137583333333 1.3493672653545 "A"
"50" 6 "170-4" 8 "6-8" 4 35 "Supp" "Ambient" 1 1 1 0.2985 23 NA "ALIVE" 9.4 31.6 4.4 NA NA 76.6 NA NA NA 2.57 NA 0.036062724 1 0.036062724 0.02464418369988 "C"
"51" 6 "170-4" 16 "6-16" 19 21 "Open" "Reduced" 1 1 1 0.4466 35 NA "ALIVE" 8.2 5.6 2.4 3.38 6.61 3 NA NA NA 43.03 80 0.198591608 6 0.0330986013333333 0.13571154715896 "E"
"52" 6 "170-4" 12 "6-12" 22 19 "Open" "Ambient" 1 1 1 0.3698 17 NA "ALIVE" 16.6 14.4 24.8 3.78 6.33 47 NA NA NA 45.47 66.5 7.991660418 74 0.107995411054054 5.46126097984866 "E"
"53" 6 "170-4" 13 "6-13" 18 30 "Open" "Ambient" 1 1 1 0.4266 42 1 "ALIVE" 0 35 9.4 NA NA 10 NA NA NA 4.64 59.5 0.492682592 5 0.0985365184 0.33668450289504 "F"
"54" 6 "170-4" 14 "6-14" 5 6 "Supp" "Ambient" 1 1 1 0.3875 31 NA "ALIVE" 26.6 0 4 NA NA 96.2 NA NA NA 26.06 NA 0.063941 3 0.0213136666666667 0.04369536117 "A"
"55" 6 "170-4" 15 "6-15" 7 10 "Supp" "Ambient" 1 1 1 0.263 NA NA "ALIVE" 21.4 2.8 6.4 NA NA NA NA NA NA 8.82 NA 0 0 NA 0 "A"
"56" 6 "170-4" 1 "6-1" 22 16 "Open" "Ambient" 1 1 1 0.4225 23 NA "ALIVE" 1.4 44 18 NA NA 85.6 NA NA NA 11.56 44 0.087727052 3 0.0292423506666667 0.05995003552524 "E"
"57" 6 "170-4" 2 "6-2" 8 22 "Supp" "Reduced" 1 1 1 0.3445 90 1 "ALIVE" 3 1.6 7.2 NA NA NA NA NA NA 4.47 NA 0 0 NA 0 "B"
