"Genotype" "HCN" "Herbivory" "Pollination" "Glycosides.Ac" "Linamarase.Li" "Flwr.date" "Bnr.wdth" "Bnr.ht" "Biomass" "Infl" "Flwrs" "AF.Seeds" "RF.Seed" "Flwr.date.T" "Bnr.wdth.T" "Bnr.ht.T" "Biomass.T" "Infl.T" "Flwrs.T" "Flwr.date.S" "Bnr.wdth.S" "Bnr.ht.S" "Biomass.S" "Infl.S" "Flwrs.S" "AF.Seeds.S"
"34" "12-2" "Yes" "Ambient" "Supp" "Yes" "Yes" 36.6666666666667 2.74 5.02 27.1725 2 NA 0.470153865422086 0.0321286012380841 6.05530070819498 1.28658250249437 0.0396819098109554 2.2831392457088 1.25992104989487 NA 0.252978453397804 -1.77131696634851 3.47429239689229 -0.261108392852642 -1.34828568481055 NA -1.37396197331964
"35" "12-2" "Yes" "Reduced" "Open" "Yes" "Yes" 23 NA NA 19.1133333333333 0 NA 0 0 4.79583152331272 NA NA 2.09090407234857 0 NA -0.795117607428612 NA NA -0.782368056372427 -2.32837062417402 NA -2.18946314478941
"36" "12-2" "Yes" "Reduced" "Supp" "Yes" "Yes" 25 3.04333333333333 5.51666666666667 43.2425 3.5 NA 0.648656000057449 0.0843752561260918 5 1.32080097456705 0.0328584076450562 2.56435235094937 1.51829448593783 NA -0.625214144343191 -0.637400041900983 1.69397725481714 0.501421408810495 -1.14729855675326 NA -1.06434269628933
"37" "122-3" "Yes" "Ambient" "Open" "Yes" "Yes" 29 3.73 6.64 40.3375 92 94.75 2.27151218563517 3.62340599081966 5.3851648071345 1.3897196809367 0.0226810857889389 2.52015495407324 4.514357435474 4.55889657306809 -0.304690449145061 1.64639823516976 -0.961380619438071 0.381576950476472 1.18332063122707 2.58104793971878 1.75056794850022
"38" "122-3" "Yes" "Ambient" "Supp" "Yes" "Yes" 45.6666666666667 3.895 6.84 23.5275 60.5 79.375 1.96756215403721 2.3548170204043 6.75771164423776 1.40484000355879 0.0213740980130638 2.20238857528102 3.92571220526984 4.2976190171692 0.837505763779482 2.1474489450869 -1.30238587910165 -0.480069712783948 0.725417078620037 1.52607821598295 1.22335414666564
"39" "122-3" "Yes" "Reduced" "Open" "Yes" "Yes" 42 3.61 6.5775 51.4425 141.5 85.25 2.63909907385033 5.68249245863194 6.48074069840786 1.37840487520902 0.0231141691156851 2.6781229832678 5.21097288428823 4.40113607028028 0.607018062474725 1.27145309781245 -0.848385153819282 0.809918758614452 1.72521356171483 1.94405272032501 2.3881624893582
"40" "122-3" "Yes" "Reduced" "Supp" "Yes" "Yes" 39.5 3.43 6.255 33.4925 9.5 81 0.925135115397773 0.244786398463459 6.28490254498827 1.36089158926977 0.0255590890996236 2.40567464836971 2.11791179212745 4.32674871092222 0.444046868242782 0.691105404700272 -0.210482803568596 0.0711552696384939 -0.680859892816998 1.64369622134667 -0.584778325921896
"41" "124-1" "Yes" "Ambient" "Open" "Yes" "Yes" 28 3.14 6.4925 36.5325 38.5 69 1.4745896403635 0.991254839400231 5.29150262212918 1.33116659914037 0.023723353669684 2.45849793725006 3.37665670834691 4.10156592970235 -0.382633576560004 -0.293908459015839 -0.689443241083824 0.214389461937852 0.298310139297294 0.734467659114032 0.368273093482362
"42" "124-1" "Yes" "Ambient" "Supp" "Yes" "Yes" 38 2.82666666666667 6.09 14.2975 16.5 60.5 1.04641666124466 0.354230313143537 6.16441400296898 1.29663771413702 0.0269628263513095 1.9445316948075 2.54582168482974 3.92571220526984 0.343779574861609 -1.43811171287379 0.155765293656415 -1.17926741111576 -0.347991383891652 0.0244167921567831 -0.374410508086333
"43" "124-1" "Yes" "Reduced" "Open" "Yes" "Yes" 21.5 3.0725 6.2075 72.9625 163 69.125 2.33193906466828 3.92033679345672 4.63680924774785 1.32395423421499 0.0259517437057695 2.92263732644071 5.4625555712814 4.10404122657941 -0.927451627668075 -0.532908687804684 -0.108035566954426 1.47293719598041 1.92091820729335 0.744462253764836 1.85538084968848
"44" "124-1" "Yes" "Reduced" "Supp" "Yes" "Yes" 24.75 3.0375 6.3375 45.0625 67.25 66.5 1.68172397835315 1.47040149173485 4.9749371855331 1.32016760519009 0.0248979766503663 2.5909189086208 4.06659350700002 4.05141950952195 -0.646070738082272 -0.658388362315659 -0.382973186866079 0.573458563461349 0.835007788351563 0.531989666459616 0.72755610210023
"45" "128-5" "Yes" "Ambient" "Open" "Yes" "Yes" 29.75 2.91666666666667 5.95666666666667 28.7225 79.25 64.1666666666667 1.89167644397627 2.0927259166788 5.45435605731786 1.30683783525728 0.0281834012918645 2.31502432938456 4.29536186390886 4.00346921249353 -0.247111369298334 -1.10010451181827 0.474224641345539 -0.174649667856561 1.01296530499754 0.338379038730459 1.09172726873504
"46" "128-5" "Yes" "Ambient" "Supp" "Yes" "Yes" 21.5 3.1475 6.45 20.915 66 62.875 1.73932549714256 1.62672587784147 4.63680924774785 1.331960772666 0.0240370170061895 2.13852566758308 4.04124002062219 3.97642381387246 -0.927451627668075 -0.267591480287129 -0.607605560972094 -0.653238634975124 0.815285465146198 0.229176866299572 0.827468300012362
"47" "128-5" "Yes" "Reduced" "Open" "Yes" "Yes" 12.75 3.1925 6.405 17.06 44.75 58.5 1.57753099397196 1.21368361001234 3.57071421427143 1.33669624018345 0.0243759601843066 2.03233247418149 3.55029422939877 3.88196803832815 -1.81462696984026 -0.110669606283054 -0.519172135198362 -0.941189207667001 0.433381713270549 -0.152210593822707 0.546829095324469
"48" "128-5" "Yes" "Reduced" "Supp" "Yes" "Yes" 21.6666666666667 3.00333333333333 6.39 20.3375 87.75 62.8333333333333 2.01745965474759 2.53855373332967 4.65474668125631 1.31643943684247 0.0244905356325048 2.12360818948575 4.44374410261106 3.97554524031009 -0.912524582507131 -0.781930792193123 -0.489278335742025 -0.693688462536103 1.12839094808302 0.225629418432537 1.30990340909953
"49" "130-3" "No" "Ambient" "Open" "No" "Yes" 30 3.31333333333333 6.39333333333333 43.8025 22.75 64.375 1.07842247969764 0.387738192665913 5.47722557505166 1.34916877824711 0.0244650047135909 2.57261456785773 2.83352555404853 4.00779729068828 -0.228079977552104 0.302639964382994 -0.495939589806057 0.523825011284979 -0.124188289847418 0.355854674713489 -0.318895102680013
"50" "130-3" "No" "Ambient" "Supp" "No" "Yes" 26.3333333333333 3.31333333333333 6.10666666666667 43.5925 32 69.5 1.10568244928436 0.417891014662917 5.13160143944688 1.34916877824711 0.0268158501935508 2.56952557141155 3.1748021039364 4.11144925931074 -0.515698999440095 0.302639964382994 0.11741784789911 0.515448972602756 0.141288667403939 0.774373932236843 -0.271611566869356
"51" "130-3" "No" "Reduced" "Open" "No" "Yes" 67.3333333333333 3.205 5.95 19.8425 8.5 72.1666666666667 0.77015515631356 0.141223336404631 8.20568908339411 1.33800275746981 0.028246592754749 2.11056677570469 2.04082755095867 4.16337517832753 2.04247327577713 -0.0673748016540265 0.490711881400266 -0.72905120516282 -0.740823256265906 0.984037070930097 -0.853597424269726
"52" "130-3" "No" "Reduced" "Supp" "No" "Yes" 60.25 3.47666666666667 6.48666666666667 35.84 19.75 69.6666666666667 1.02270555584264 0.330691956019702 7.76208734813001 1.3654970411757 0.0237660407571755 2.44676353962501 2.70306008787511 4.11473316586604 1.67331995556348 0.843718877615417 -0.678305783164936 0.182570788743328 -0.225676584303862 0.787633479079653 -0.415538393347534
"53" "130-5" "No" "Ambient" "Open" "No" "Yes" 54.3333333333333 3.83 6.38 24.6675 25.25 54.5 1.30357006853641 0.684817618787991 7.37111479583199 1.39894194986 0.0245673686382799 2.22859567943181 2.93373215422131 3.79139326343789 1.34796321252168 1.95200179314646 -0.469231890343926 -0.409007242515469 -0.0462381836385019 -0.517927598923577 0.0716326286761345
"54" "130-5" "No" "Ambient" "Supp" "No" "Yes" 51 3.56 6.21 20.6075 1.25 52 0.523023558902539 0.0442318943674658 7.14142842854285 1.37360701309047 0.0259308527879556 2.13062160781606 1.07721734501594 3.73251115681725 1.15682445369307 1.11246361850905 -0.113486201600922 -0.674671068294053 -1.49040978816821 -0.755677984871782 -1.28225732056761
"55" "130-5" "No" "Reduced" "Open" "No" "Yes" 57.25 3.6725 6.305 40.1025 83.5 59.5 1.7707927974867 1.71662339013284 7.56637297521078 1.38433261526039 0.0251553183688537 2.51647640010424 4.37081231942814 3.90396266088985 1.51045176810327 1.46788398326225 -0.315830340425666 0.371602283662882 1.07165775650371 -0.0634021203671013 0.882049623661805
"56" "130-5" "No" "Reduced" "Supp" "No" "Yes" 46.25 3.71 6.1725 95.675 72 57.125 1.57114282486351 1.19899889931896 6.80073525436772 1.38785302839523 0.0262468870781818 3.12751655849567 4.16016764610381 3.85131230914368 0.873308844030275 1.58454191077476 -0.031029917624582 2.02848214489064 0.907798543341469 -0.275990326978144 0.535748553879144
"57" "132-1" "No" "Ambient" "Open" "No" "No" 20.25 3.03 6.065 52.31 52.5 51.8333333333333 1.37963723574046 0.811832637490582 4.5 1.31935193127267 0.02718556663896 2.68934290178798 3.74443619360925 3.72851916322935 -1.04130056924623 -0.685417811726197 0.213880305158321 0.840342384272124 0.584403569153513 -0.771796600028333 0.203574251467215
"58" "132-1" "No" "Ambient" "Supp" "No" "No" 22.75 3.3 6.06666666666667 26.0625 28.75 45.3333333333333 1.15850655013006 0.480692411354977 4.76969600708473 1.34780941251295 0.027170631566236 2.25945667454933 3.06346283761421 3.56565416082624 -0.816866874449212 0.257593890753216 0.209983605857551 -0.325325408178618 0.0546785277517256 -1.42940243991891 -0.179985996413122
"59" "132-1" "No" "Reduced" "Open" "No" "No" 45.25 3.16 6.12 42.79 42 45.3333333333333 1.37498811025592 0.803653080027367 6.72681202353685 1.33328124694796 0.0266991328121663 2.55761736320555 3.47602664488645 3.56565416082624 0.81179193836288 -0.223834174775871 0.0869651981643746 0.483158999367995 0.375609409942889 -1.42940243991891 0.195510152546
"60" "132-1" "No" "Reduced" "Supp" "No" "No" 34.5 3.1725 5.95 38.17 55.75 46.5 1.42498790402223 0.894551439219358 5.87367006223537 1.33459780947508 0.028246592754749 2.48559599220336 3.82016062480753 3.5959831740739 0.101830361137469 -0.180206495304331 0.490711881400263 0.287867810151093 0.643309144677858 -1.30694189937616 0.282236846482823
"61" "135-1" "Yes" "Ambient" "Open" "Yes" "Yes" 12 2.7 5.51 13.0533333333333 0 NA 0 0 3.46410161513775 1.2818610191887 0.0329379679250068 1.90077344992956 0 NA -1.90334708028656 -1.92777543759252 1.71473527139868 -1.29792107684501 -2.32837062417402 NA -2.18946314478941
"62" "135-1" "Yes" "Ambient" "Supp" "Yes" "Yes" 24.3333333333333 3.14333333333333 6.83666666666667 89.6 113.5 47.125 1.94930498811622 2.28987179359918 4.93288286231625 1.3315197405958 0.0213949457055708 3.07664226925383 4.8417082966445 3.61202256195163 -0.681067204080306 -0.282206210236834 -1.29694652233952 1.8905328069601 1.43796487972791 -1.24217908980363 1.19168634322661
"63" "135-1" "Yes" "Reduced" "Open" "Yes" "Yes" 38.5 3.245 7.18 67.005 154.75 46.75 2.23525693832477 3.45266259696964 6.20483682299543 1.34215809555551 0.0193977389995422 2.86105892805188 5.36879579798331 3.60241607360726 0.37741834820022 0.0703229942079323 -1.81803631672199 1.30596288704839 1.84798304859015 -1.28096755106225 1.68768173437325
"64" "135-1" "Yes" "Reduced" "Supp" "Yes" "Yes" 11.75 2.83333333333333 5.85 42.1025 96.25 51.5 1.85252703291254 1.96546560198995 3.42782730020052 1.29740156584627 0.0292205420410549 2.54728167388728 4.58282822716511 3.72050943036845 -1.93353358032264 -1.41279952537901 0.744824303418551 0.455133025545875 1.23658364459473 -0.804137784614162 1.02382100882125
"65" "143-5" "No" "Ambient" "Open" "No" "No" 18.5 3.3075 6.515 57.41 92.75 75 1.74771298818901 1.65037306217914 4.30116263352131 1.34857456150831 0.0235597761585667 2.75262396556556 4.52659152628377 4.21716332650875 -1.20676762715674 0.282949067153829 -0.732122134248173 1.01193359432639 1.19283745623007 1.20121939886401 0.842016747397629
"66" "143-5" "No" "Ambient" "Supp" "No" "No" 16.75 3.1075 6.2675 46.8025 96.5 66.125 1.74275815772199 1.63637621424983 4.09267638593623 1.32770864890623 0.0254572398719564 2.61557551383542 4.58679261342155 4.04378969954503 -1.38026422195499 -0.408496517946518 -0.237056213793424 0.640316743018476 1.23966751660725 0.50118251007831 0.833422390640268
"67" "143-5" "No" "Reduced" "Open" "No" "No" 22.25 3.1325 5.9225 58.795 116.5 66.75 1.9192946742609 2.18573124128898 4.7169905660283 1.33037100165435 0.0285095171004538 2.76907742268239 4.88399609973746 4.05649012746648 -0.860726911533425 -0.320272624327891 0.559311287174306 1.05654834078795 1.47086030514653 0.552463481723664 1.13963222242677
"68" "143-5" "No" "Reduced" "Supp" "No" "No" 26.75 3.325 6.32 61.875 167.5 65.5 2.27891989511386 3.65897097720428 5.1720402163943 1.35035486183486 0.0250360519147572 2.80465084480691 5.51236885724867 4.03100898945729 -0.482046947185091 0.341943889207607 -0.346948066925506 1.1530082639266 1.95966766017439 0.449577380261378 1.7634169245527
"69" "144-1" "Yes" "Ambient" "Open" "Yes" "Yes" 19 3.195 6.08 15.36 9.25 52.1666666666667 1.06700211888612 0.375549882790412 4.35889894354067 1.33695785018524 0.0270515927977839 1.97969280153591 2.0991682269042 3.73649462959154 -1.15872103751064 -0.10200048721743 0.178925284658761 -1.08392551118214 -0.695440398465991 -0.7395937745088 -0.338704187120995
"70" "144-1" "Yes" "Ambient" "Supp" "Yes" "Yes" 44.6666666666667 2.95 5.65 7.1725 1.75 NA 0.482515554712953 0.034730076471703 6.68331255192114 1.31055576139734 0.0313258673349518 1.63650614058378 1.20507113208762 NA 0.775592859103372 -0.976901483783927 1.29412324237839 -2.01450111961755 -1.39095310303704 NA -1.35252011600556
"71" "144-1" "Yes" "Reduced" "Open" "Yes" "Yes" 49.6666666666667 3.355 6.225 16.6075 12.25 54.75 1.09022044181561 0.400603507794691 7.04745817062199 1.35339052324206 0.025806035386526 2.01871990500312 2.30521814602922 3.79718165908743 1.07862495636206 0.442538323675792 -0.146052221858106 -0.978100679722448 -0.535155416713885 -0.494555586971535 -0.298431053278824
"72" "144-1" "Yes" "Reduced" "Supp" "Yes" "Yes" 32.75 3.37 6.34 22.775 18.75 56.375 1.24847598365254 0.601606282006587 5.7227615711298 1.35490072517088 0.0248783448934709 2.18456311412511 2.65664642295653 3.83438324528453 -0.0237515879657853 0.492582741871503 -0.38809529472456 -0.528404748052459 -0.261781492600429 -0.344345413051825 -0.0239303222389193
"73" "147-5" "No" "Ambient" "Open" "No" "No" 20.6666666666667 3.235 6.43 54.8475 114 52 2.02729927786445 2.57587854757315 4.54606056566195 1.34112287835996 0.0241867799897932 2.72138012822782 4.84880758583988 3.73251115681725 -1.00297021705564 0.0360184146224026 -0.568531006447235 0.927213655446032 1.44348737371367 -0.755677984871782 1.32697063914648
"74" "147-5" "No" "Ambient" "Supp" "No" "No" 24.25 2.97 6.005 63.1025 76 44.75 1.67623307822807 1.45604569648168 4.92442890089805 1.31277141725489 0.0277315392876184 2.81845847975325 4.23582358425489 3.55029422939877 -0.688102361245836 -0.903480038481305 0.356329644212232 1.19044867100885 0.96665083854003 -1.4914217839031 0.718031910524347
"75" "147-5" "No" "Reduced" "Open" "No" "No" 51.25 3.43333333333333 6.28 14.3825 11.25 46.375 0.911488527072328 0.234112932427906 7.15891053163818 1.36122210334132 0.0253559982149377 1.94741538038506 2.24070237327858 3.5927580753266 1.17137258524651 0.702057837021023 -0.263471103188488 -1.1714480877964 -0.585341844847279 -1.31996399583127 -0.608448893334918
"76" "147-5" "No" "Reduced" "Supp" "No" "No" 40 2.92 5.965 25.2375 23.25 45.6666666666667 1.10331867798867 0.415216588920566 6.32455532033676 1.30721105758156 0.0281047097169926 2.2413598238791 2.85413373669243 3.57437217636125 0.477044831307257 -1.08773683189421 0.453693277993992 -0.374396335867049 -0.108157309621616 -1.39420139707062 -0.275711625174728
"77" "16-8" "Yes" "Ambient" "Open" "Yes" "Yes" 42.5 2.9625 5.775 39.965 38 50.5 1.31034643053104 0.695552915184358 6.51920240520265 1.31194186144274 0.0299844455688612 2.51431655163773 3.36197540679896 3.69627089585686 0.639024850626551 -0.930969500113822 0.944133834590796 0.365745697351305 0.286889643911018 -0.902006581532008 0.0833865066113146
