"Genotype" "HCN" "Herbivory" "Pollination" "Glycosides.Ac" "Linamarase.Li" "Flwr.date" "Bnr.wdth" "Bnr.ht" "Biomass" "Infl" "Flwrs" "AF.Seeds" "RF.Seed" "Flwr.date.T" "Bnr.wdth.T" "Bnr.ht.T" "Biomass.T" "Infl.T" "Flwrs.T" "Flwr.date.S" "Bnr.wdth.S" "Bnr.ht.S" "Biomass.S" "Infl.S" "Flwrs.S" "AF.Seeds.S"
"1" "102-2" "No" "Ambient" "Open" "No" "No" 18.5 3.6975 6.745 38.825 103.75 56.75 2.11784942419596 2.93668268649265 4.30116263352131 1.38668253479408 0.0219804253322204 2.49619130514265 4.69889818747649 3.84286642170832 -1.20676762715674 1.54575460018168 -1.14418944549563 0.316597772317129 1.32687376239472 -0.310092588474447 1.48403358351642
"2" "102-2" "No" "Ambient" "Supp" "No" "No" 21 3.555 6.745 54.66 109.25 59.75 2.24201953648354 3.48409479754535 4.58257569495584 1.37312445302546 0.0219804253322204 2.71905133377614 4.7805054232343 3.90942275564277 -0.972583317850112 1.09647275183302 -1.14418944549563 0.920898959799693 1.39035553588838 -0.0413557006765982 1.69941173837037
"3" "102-2" "No" "Reduced" "Open" "No" "No" 24.5 3.33 6.0275 18.4675 48.25 50.875 1.66454037865086 1.42578745627393 4.94974746830583 1.35086222801937 0.0275248880898261 2.07301300635696 3.64053970985267 3.70539752771031 -0.667032936853096 0.358756770340617 0.302412425808441 -0.83088098392768 0.503583124895401 -0.865155653973573 0.697750443319361
"4" "102-2" "No" "Reduced" "Supp" "No" "No" 28.5 3.2975 6.2125 28.4025 76.75 55.75 1.85433163801403 1.97121506547609 5.33853912601566 1.34755407302768 0.0259099870854908 2.30854923944635 4.24971162979963 3.82016062480753 -0.343491075075882 0.24913256135166 -0.118930257328466 -0.192207345483675 0.977454264894979 -0.401772595971548 1.02695117041843
"5" "105-1" "No" "Ambient" "Open" "Yes" "No" 20 2.92 6.555 8.1075 14 48.875 0.944026400207585 0.260090329245499 4.47213595499958 1.30721105758156 0.023273119953733 1.68741435485798 2.41014226417523 3.65619140578658 -1.06448827098136 -1.08773683189421 -0.806913402665386 -1.87645979149267 -0.453535581900049 -1.06383697075715 -0.552010617250311
"6" "105-1" "No" "Ambient" "Supp" "Yes" "No" 18.75 2.86 6.43 24.895 133 50.75 1.9866360062905 2.42396694178033 4.33012701892219 1.30044355991668 0.0241867799897932 2.23371639913991 5.10446872200146 3.70236031526107 -1.1826642520148 -1.31199524185672 -0.568531006447235 -0.395122038338918 1.64236462015179 -0.877419115209177 1.25643852605925
"7" "105-1" "No" "Reduced" "Open" "Yes" "No" 12 2.9025 6.7175 21.45 92.5 48.5 1.74322671303382 1.63769643000958 3.46410161513775 1.30524806214761 0.022160759970022 2.15207213419155 4.52252084825514 3.64681651488434 -1.90334708028656 -1.15278572538215 -1.09713846221561 -0.61650640484895 1.18967090049296 -1.10169030274798 0.834235119054939
"8" "105-1" "No" "Reduced" "Supp" "Yes" "No" 16.75 3.0125 6.795 35.3575 222.25 54.875 2.65617191181916 5.79349084164556 4.09267638593623 1.3174427865266 0.0216581360683228 2.43848667926721 6.0573210101189 3.80006925081553 -1.38026422195499 -0.748682224414976 -1.22827771024517 0.160127479489908 2.38358263305811 -0.482896254668081 2.41777602736749
"9" "107-2" "Yes" "Ambient" "Open" "Yes" "Yes" NA NA NA 69.44 0 NA 0 0 NA NA NA 2.88670515681804 0 NA NA NA NA 1.37550450289072 -2.32837062417402 NA -2.18946314478941
"10" "107-2" "Yes" "Ambient" "Supp" "Yes" "Yes" NA NA NA 81.29 0 NA 0 0 NA NA NA 3.00268158758615 0 NA NA NA NA 1.68998303572991 -2.32837062417402 NA -2.18946314478941
"11" "107-2" "Yes" "Reduced" "Open" "Yes" "Yes" NA NA NA 144.285 0 NA 0 0 NA NA NA 3.46581435310032 0 NA NA NA NA 2.94580123641121 -2.32837062417402 NA -2.18946314478941
"12" "107-2" "Yes" "Reduced" "Supp" "Yes" "Yes" NA NA NA 93.785 0 NA 0 0 NA NA NA 3.11195526784822 0 NA NA NA NA 1.98628657274307 -2.32837062417402 NA -2.18946314478941
"13" "108-3" "No" "Ambient" "Open" "Yes" "No" 39 NA NA 16.37 0 NA 0 0 6.2449979983984 NA NA 2.01146356288867 0 NA 0.410839387986871 NA NA -0.997776779485284 -2.32837062417402 NA -2.18946314478941
"14" "108-3" "No" "Ambient" "Supp" "Yes" "No" 37 NA NA 14.5575 0 NA 0 0 6.08276253029822 NA NA 1.9533123668766 0 NA 0.275831436158322 NA NA -1.15545797973953 -2.32837062417402 NA -2.18946314478941
"15" "108-3" "No" "Reduced" "Open" "Yes" "No" 27 2.7825 5.71 21.955 6.5 43.1666666666667 0.75784361033581 0.134558322721925 5.19615242270663 1.29154277194417 0.0306709892314157 2.16462844113576 1.86625557840862 3.50791857902737 -0.461981423743046 -1.60694570316069 1.12325945783012 -0.582459064716624 -0.87662173438924 -1.66252346162525 -0.874952305949674
"16" "108-3" "No" "Reduced" "Supp" "Yes" "No" 35 2.96 5.77 23.9675 6.75 48.5 0.705266401676545 0.108450452868125 5.91607978309962 1.31166499282726 0.0300364341946781 2.21261414270468 1.88988157484231 3.64681651488434 0.137122579408554 -0.940144252518979 0.957698150320075 -0.452342342493767 -0.858243215128813 -1.10169030274798 -0.966149631777781
"17" "108-4" "No" "Ambient" "Open" "Yes" "No" 42.6666666666667 2.97 5.635 5.3925 1.75 46.75 0.494198153604042 0.0373142864056632 6.53197264742181 1.31277141725489 0.0314928641106533 1.52386866361463 1.20507113208762 3.60241607360726 0.649651899486782 -0.903480038481305 1.33769425345609 -2.31992583622045 -1.39095310303704 -1.28096755106225 -1.3322561688551
"18" "108-4" "No" "Ambient" "Supp" "Yes" "No" 50 NA NA 11.475 2.75 60 0.642376418973458 0.0819484144641341 7.07106781186548 NA NA 1.84050996661003 1.40101966532769 3.91486764116886 1.09827225879855 NA NA -1.46132989786655 -1.23852592806842 -0.0193706918247156 -1.07523488735052
"19" "108-4" "No" "Reduced" "Open" "Yes" "No" 65.3333333333333 3.54 6.53 12.7125 3.75 56.3333333333333 0.715390433410235 0.113188204265514 8.08290376865476 1.37167371201123 0.0234516626056204 1.88824238306458 1.55361625297693 3.83343835041008 1.94029467049615 1.0483987237019 -0.760329965167571 -1.3318999766655 -1.1198219685102 -0.348160648850527 -0.94858908331476
"20" "108-4" "No" "Reduced" "Supp" "Yes" "No" 50.6666666666667 3.18333333333333 6.25333333333333 14.1375 5.5 57 0.743484298848333 0.127053662678101 7.11805216802087 1.33573568698165 0.0255727151631426 1.93906851403042 1.76517416766303 3.8485011312768 1.13737136435669 -0.142500002743536 -0.20692763693716 -1.19408122340531 -0.955252350434297 -0.287341120303587 -0.899859120932519
"21" "110-5" "Yes" "Ambient" "Open" "Yes" "Yes" 41.3333333333333 3.32 5.57 16.8225 13.25 58.5 0.990960194827612 0.300843349336642 6.42910050732864 1.34984692310975 0.0322321748015304 2.02522198955156 2.36631174558168 3.88196803832815 0.564044497499797 0.325112035471937 1.53058728487392 -0.960469804245019 -0.487631076345204 -0.152210593822707 -0.470602024640332
"22" "110-5" "Yes" "Ambient" "Supp" "Yes" "Yes" 33 3.4025 5.945 17.79 19.25 56.875 1.11829593112508 0.432356526788468 5.74456264653803 1.35815561500502 0.0282941259272516 2.05373302592928 2.68005420548268 3.84568584049059 -0.00560932491448144 0.600441873112247 0.503113727944719 -0.883160054062091 -0.243572720614523 -0.298708520510438 -0.249732965045711
"23" "110-5" "Yes" "Reduced" "Open" "Yes" "Yes" 45.6666666666667 3.41 5.85666666666667 22.4625 20.5 52.5 1.18874311188352 0.519320929273655 6.75771164423776 1.35890342970424 0.0291540561876407 2.17703054521148 2.73685183739921 3.74443619360925 0.837505763779482 0.625222633106113 0.727477526252045 -0.548829856885174 -0.199390187401391 -0.707527837696988 -0.1275394393503
"24" "110-5" "Yes" "Reduced" "Supp" "Yes" "Yes" 60.5 3.43 5.88666666666667 10.2375 11 61.1666666666667 0.96288987410059 0.275995273084432 7.77817459305202 1.36089158926977 0.0288576599131192 1.78874518899569 2.22398009056932 3.94007907514488 1.68670732401576 0.691105404700272 0.65014498311571 -1.60169385982925 -0.598350007094031 0.0824264160254306 -0.519291147755096
"25" "114-1" "Yes" "Ambient" "Open" "Yes" "Yes" 26.6666666666667 2.74 5.21 76.7625 1.5 NA 0.357914901279953 0.0141746102166577 5.16397779494322 1.28658250249437 0.0368404183597909 2.95996978322485 1.14471424255333 NA -0.488756275420372 -1.77131696634851 2.73292086456295 1.57416686962187 -1.43790436115302 NA -1.56864506214268
"26" "114-1" "Yes" "Ambient" "Supp" "Yes" "Yes" 36.3333333333333 2.97 5.44 57.18 2.5 73 0.502157345004291 0.0391463471904969 6.02771377334171 1.31277141725489 0.0337910899653979 2.74986287479282 1.35720880829745 4.17933919638123 0.23002135520354 -0.903480038481305 1.93732274182357 1.00444669574281 -1.27260612790279 1.04849555707098 -1.31845062478066
"27" "114-1" "Yes" "Reduced" "Open" "Yes" "Yes" 62.75 3.385 6.1475 83.835 43.5 72.375 1.61912116382705 1.31222961195754 7.92148975887743 1.35640589400718 0.0264607972538985 3.02591233799314 3.51692482799883 4.16737765644932 1.80597031398112 0.542460375624443 0.0247812355945935 1.75297490620185 0.407423858411005 1.00019801986383 0.618968951513889
"28" "114-1" "Yes" "Reduced" "Supp" "Yes" "Yes" 47.5 3.41 6.43 88.55 6.5 74.5 0.682150773761701 0.0981325114072536 6.89202437604511 1.35890342970424 0.0241867799897932 3.06758878533088 1.86625557840862 4.20777094947596 0.949277172572842 0.625222633106113 -0.568531006447235 1.86598362638678 -0.87662173438924 1.16329546249907 -1.00624463690316
"29" "118-2" "No" "Ambient" "Open" "Yes" "No" 29.75 3.33 6.12 22.915 13 73.1666666666667 0.993517619938026 0.303178574223221 5.45435605731786 1.35086222801937 0.0266991328121663 2.18791258005446 2.35133468772076 4.18251740231813 -0.247111369298334 0.358756770340617 0.0869651981643746 -0.519322427409542 -0.499281638772663 1.06132831274988 -0.466166065847104
"30" "118-2" "No" "Ambient" "Supp" "Yes" "No" 16.75 3.445 6.28 47.0575 22.25 73.25 1.38250487266177 0.816905456940383 4.09267638593623 1.36237701071585 0.0253559982149377 2.61913095072925 2.81261316417093 4.18410469560232 -1.38026422195499 0.740328657978969 -0.263471103188488 0.649957568922239 -0.140455911034354 1.06773738356251 0.208548285375409
"31" "118-2" "No" "Reduced" "Open" "Yes" "No" 35.5 3.18666666666667 6.12333333333333 24.5475 25.5 71.875 1.17744671168732 0.504656148258511 5.95818764390649 1.33608521878888 0.0266700725337073 2.22588035830188 2.94338265844167 4.15775874710191 0.17216359793545 -0.130917368925187 0.0793831013883201 -0.416370033381429 -0.0387311149658827 0.961359405877391 -0.147133509017515
"32" "118-2" "No" "Reduced" "Supp" "Yes" "No" 18.25 3.23 6.125 33.1375 60 72.25 1.59265185148302 1.24891918688134 4.27200187265877 1.34060436951442 0.026655560183257 2.39927448300327 3.91486764116886 4.16497709275198 -1.23103442062624 0.0188362928085981 0.0755966942581408 0.0538007554407757 0.71698115801198 0.99050517804324 0.573056843133847
"33" "12-2" "Yes" "Ambient" "Open" "Yes" "Yes" NA NA NA 21.7866666666667 0 NA 0 0 NA NA NA 2.16046729909461 0 NA NA NA NA -0.593742304210815 -2.32837062417402 NA -2.18946314478941
